"Reservoir","Reservoir_type","Year","Cyanobacteria_Max_cells/ml","logCyanoMax_cells/ml","Chlorophyll_a_ug/l","Secchi_cm","TP_ppb","P_dissolved_ppb","TKN_ppm","NH3_ppm","NOx_ppm","TOC_ppm","Alkalinity_ppm","NH36to8inflow_ppm","TKN6to8inflow_ppm","NOx6to8inflow_ppm","TP6to8inflow_ppb","TOC6to8inflow_ppm","Summer_precip_inches","Summer_precip_Z-score","mayST_Celsius","junST_Celsius","julST_Celsius","augST_Celsius","mayDO_mg/l","junDO_mg/l","mayDT_Celsius","junDT_Celsius","julDT_Celsius","augDT_Celsius"
"BHR",1,1989,"na","na","na","na","12.0","7.5","0.200","0.075","0.100","3.00","27.5","0.100","0.200","0.350","33.5","3.0",18.65,1.259,"18.57","24.66","27.11","26.83","8.49","6.28","12.95","17.04","20.77","22.33"
"BHR",1,1990,"na","na","2.00","116.0","115.0","115","0.075","0.050","0.167","2.30","36.4","0.000","0.100","0.400","33.0","1.0",13.29,-0.129,"20.34","24.50","27.84","26.98","7.50","4.35","14.66","17.62","20.86","21.94"
"BHR",1,1994,"na","na","5.44","na","na","na","na","na","na","3.67","na","na","na","na","na","5.0",10.58,-0.832,"19.26","28.02","29.58","26.92","8.66","4.46","13.79","15.88","21.08","23.53"
"BHR",1,1995,"68.1","1.833","na","138.0","na","na","na","na","na","3.95","51.0","na","na","0.045","na","6.2",6.17,-1.974,"19.07","25.46","28.60","29.43","9.03","3.78","13.73","16.85","19.90","21.81"
"BHR",1,1997,"na","na","3.10","na","na","na","na","na","0.005","2.12","na","na","na","0.005","na","4.9",11.87,-0.497,"18.43","23.45","28.40","27.48","6.95","5.25","15.58","17.49","19.74","21.85"
"BHR",1,2000,"1394.5","3.144","na","80.0","na","na","na","na","na","na","na","na","na","na","na","na",13.93,0.036,"20.15","27.22","27.31","27.60","5.82","3.33","15.28","19.21","21.52","22.32"
"BHR",1,2003,"326.3","2.514","na","91.0","na","na","na","na","na","na","na","na","na","na","na","na",17.45,0.948,"20.75","23.81","27.17","28.46","7.06","6.06","16.54","18.09","20.79","21.84"
"BHR",1,2006,"257.7","2.411","na","98.7","na","na","na","na","na","na","na","na","na","na","na","na",14.9,0.288,"19.18","25.98","28.89","28.40","6.61","4.89","16.19","18.27","20.95","23.04"
"BHR",1,2011,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",15.61,0.472,"na","na","na","na","na","na","na","na","na","na"
"BHR",1,2012,"na","na","na","84.0","na","na","na","na","na","na","na","na","na","na","na","na",8.44,-1.386,"na","na","na","27.97","na","na","na","na","na","24.67"
"BHR",1,2013,"1045415.5","6.019","na","na","1.3","na","na","0.029","0.094","2.74","na","0.054","na","1.600","140.0","5.7",19.52,1.485,"na","na","na","na","na","na","na","na","na","na"
"BHR",1,2014,"917375.1","5.963","na","108.0","3.5","na","0.100","0.052","0.005","2.90","na","0.092","0.900","0.290","45.8","5.5",21.36,1.962,"na","na","27.30","na","na","na","na","na","24.73","na"
"BHR",1,2015,"10994.2","4.041","1.42","121.0","16.6","na","0.227","0.137","0.018","2.63","na","na","na","na","na","na",18.69,1.27,"na","na","na","28.37","na","na","na","na","na","23.43"
"BHR",1,2016,"60069.1","4.779","2.74","105.0","28.4","na","0.286","0.108","0.041","3.67","104.2","na","na","na","na","na",16.83,0.788,"23.78","27.27","29.67","28.76","9.40","6.02","15.64","19.18","22.48","24.74"
"BRR",2,1989,"na","na","na","96.0","22.0","5","0.280","0.050","0.200","3.25","75.2","0.000","0.200","0.850","54.0","2.0",17.89,1.091,"19.30","26.06","27.79","27.61","4.77","1.23","11.28","15.91","19.57","21.97"
"BRR",2,1990,"na","na","2.50","106.0","na","na","na","na","na","na","94.5","na","na","na","na","na",7.73,-1.535,"17.10","25.00","27.98","27.89","6.68","3.37","13.26","16.67","17.54","17.72"
